;Filename;Original Sentence;Transcribed Sentence;Word Error Rate;Levenshtein Distance;Precision;Recall;Micro Precision;Micro Recall;Micro F-score;Macro Precision;Macro Recall;Macro F-score
0;task10_c_noisy_M.wav;Code is like humor. When you have to explain it, it’s bad;"Code is like humor. When you have to explain it, it's bad.
";0,166666667;3;0,833333333;0,833333333;;;;;;
1;task12_c_noisy_F.wav;In the kaleidoscope of life, the symbiotic confluence of camaraderie and mutual understanding serves as an ineffable elixir, fostering an indelible tapestry of interconnected souls, transcending the vicissitudes of time with an enduring luminosity.;"In the kaleidoscope of life, this symbiotic confluence of camaraderie and mutual understanding serve as an ineffable elixir, forcing an indelible tapestry of interconnected souls, transcending the vicissitudes of time with an enduring luminosity.
";0,088235294;8;0,892857143;0,925925926;;;;;;
2;task5_b_native_M.wav;The intricate details of the ancient manuscript fascinated the historian;"The intricate details of the ancient manuscript fascinated the historian.
";0,1;2;0,888888889;0,888888889;;;;;;
3;task2_d_non noicy_M.wav;The nice smell of fresh coffee floated around, waking me up.;"The nice smell of fresh coffee floated around, waking me up.
";0;1;1;1;;;;;;
4;task8_c_noisy_M.wav;Make it work, make it right, make it fast;"Make it work. Make it right. Make it fast.
";0,555555556;6;0,4;0,333333333;;;;;;
5;task2_a_non_native_M.wav;The nice smell of fresh coffee floated around, waking me up.;"The nice smell of fresh coffee floated around waking me up.
";0,090909091;2;0,909090909;0,909090909;;;;;;
6;task7_d_non noicy_M.wav;When you have to protect someone they become your family. Being shinobi is defined by what's in your heart, not your blood;"When you have to protect someone, they become your family. Being shinobi is defined by what's in your heart, not your blood.
";0,090909091;3;0,9;0,9;;;;;;
7;task2_b_native_M.wav;The nice smell of fresh coffee floated around, waking me up.;"The nice smell of fresh coffee floated around, waking me up.
";0;1;1;1;;;;;;
8;task1_a_non_native_M.wav;The sun is shining brightly in the clear blue sky;"The sun is shining brightly in the clear blue sky.
";0,1;2;0,9;0,9;;;;;;
9;task3_b_native_M.wav;My grandmother, who immigrated from Italy, taught me the art of making homemade pasta;"My grandmother, who immigrated from Italy, taught me the art of making homemade pasta.
";0,071428571;2;0,928571429;0,928571429;;;;;;
10;task12_d_non noicy_F.wav;In the kaleidoscope of life, the symbiotic confluence of camaraderie and mutual understanding serves as an ineffable elixir, fostering an indelible tapestry of interconnected souls, transcending the vicissitudes of time with an enduring luminosity.;"In the kaleidoscope of life, the symbiotic confluence of a camaraderie and mutual understanding serves as an ineffable elixir, fostering an indelible tapestry of interconnected souls, transcending the vicissitudes of a time with an enduring luminosity.
";0,055555556;5;0,964285714;1;;;;;;
